Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_Volume
1970-02-25,171.42,171.42,171.42,171.42,nan
1970-02-26,173.18,173.18,173.18,173.18,nan
1970-02-27,174.06,174.06,174.06,174.06,nan
1970-03-02,174.93,174.93,174.93,174.93,nan
1970-03-03,174.6,174.6,174.6,174.6,nan
1970-03-04,177.38,177.38,177.38,177.38,nan
1970-03-05,179.8,179.8,179.8,179.8,nan
1970-03-06,183.18,183.18,183.18,183.18,nan
1970-03-09,190.63,190.63,190.63,190.63,nan
1970-03-10,193.39,193.39,193.39,193.39,nan
1970-03-11,189.57,189.57,189.57,189.57,nan
1970-03-12,189,189,189,189,nan
1970-03-13,191.3,191.3,191.3,191.3,nan
1970-03-16,189.61,189.61,189.61,189.61,nan
1970-03-17,187.62,187.62,187.62,187.62,nan
1970-03-18,184.28,184.28,184.28,184.28,nan
1970-03-19,184.44,184.44,184.44,184.44,nan
1970-03-20,184.95,184.95,184.95,184.95,nan
1970-03-23,180.89,180.89,180.89,180.89,nan
1970-03-24,181.24,181.24,181.24,181.24,nan
1970-03-25,180.94,180.94,180.94,180.94,nan
1970-03-26,182.13,182.13,182.13,182.13,nan
1970-03-31,179.63,179.63,179.63,179.63,nan
1970-04-01,176.95,176.95,176.95,176.95,nan
1970-04-02,176.83,176.83,176.83,176.83,nan
1970-04-03,178.82,178.82,178.82,178.82,nan
1970-04-07,179.56,179.56,179.56,179.56,nan
1970-04-08,179.19,179.19,179.19,179.19,nan
1970-04-09,180.17,180.17,180.17,180.17,nan
1970-04-10,182.32,182.32,182.32,182.32,nan
1970-04-13,183.78,183.78,183.78,183.78,nan
1970-04-14,183.99,183.99,183.99,183.99,nan
1970-04-15,186.56,186.56,186.56,186.56,nan
1970-04-16,186.19,186.19,186.19,186.19,nan
1970-04-17,185.56,185.56,185.56,185.56,nan
1970-04-20,185.96,185.96,185.96,185.96,nan
1970-04-22,184.52,184.52,184.52,184.52,nan
1970-04-23,184.14,184.14,184.14,184.14,nan
1970-04-24,183.12,183.12,183.12,183.12,nan
1970-04-27,180.1,180.1,180.1,180.1,nan
1970-04-28,181.69,181.69,181.69,181.69,nan
1970-04-29,180.34,180.34,180.34,180.34,nan
1970-04-30,178.58,178.58,178.58,178.58,nan
1970-05-01,176.14,176.14,176.14,176.14,nan
1970-05-04,174.94,174.94,174.94,174.94,nan
1970-05-05,168.46,168.46,168.46,168.46,nan
1970-05-06,172.91,172.91,172.91,172.91,nan
1970-05-07,176.93,176.93,176.93,176.93,nan
1970-05-08,177.61,177.61,177.61,177.61,nan
1970-05-11,174.73,174.73,174.73,174.73,nan
1970-05-12,174.1,174.1,174.1,174.1,nan
1970-05-13,174.46,174.46,174.46,174.46,nan
1970-05-14,174.82,174.82,174.82,174.82,nan
1970-05-15,173.47,173.47,173.47,173.47,nan
1970-05-18,173.4,173.4,173.4,173.4,nan
1970-05-19,172.94,172.94,172.94,172.94,nan
1970-05-20,172.27,172.27,172.27,172.27,nan
1970-05-21,169.84,169.84,169.84,169.84,nan
1970-05-22,168.07,168.07,168.07,168.07,nan
1970-05-25,165.18,165.18,165.18,165.18,nan
1970-05-26,162.64,162.64,162.64,162.64,nan
1970-05-27,165.7,165.7,165.7,165.7,nan
1970-05-28,170.96,170.96,170.96,170.96,nan
1970-05-29,173.02,173.02,173.02,173.02,nan
1970-06-01,170.91,170.91,170.91,170.91,nan
1970-06-02,170.33,170.33,170.33,170.33,nan
1970-06-03,169.61,169.61,169.61,169.61,nan
1970-06-04,170.25,170.25,170.25,170.25,nan
1970-06-05,169.44,169.44,169.44,169.44,nan
1970-06-09,169.41,169.41,169.41,169.41,nan
1970-06-10,172.13,172.13,172.13,172.13,nan
1970-06-11,174.67,174.67,174.67,174.67,nan
1970-06-12,173.5,173.5,173.5,173.5,nan
1970-06-15,173.35,173.35,173.35,173.35,nan
1970-06-16,175.41,175.41,175.41,175.41,nan
1970-06-17,178.31,178.31,178.31,178.31,nan
1970-06-18,176.85,176.85,176.85,176.85,nan
1970-06-19,177.36,177.36,177.36,177.36,nan
1970-06-22,179.78,179.78,179.78,179.78,nan
1970-06-23,179.01,179.01,179.01,179.01,nan
1970-06-24,177.31,177.31,177.31,177.31,nan
1970-06-25,176.72,176.72,176.72,176.72,nan
1970-06-26,177.98,177.98,177.98,177.98,nan
1970-06-29,179.7,179.7,179.7,179.7,nan
1970-06-30,181.37,181.37,181.37,181.37,nan
1970-07-02,183.68,183.68,183.68,183.68,nan
1970-07-03,184.15,184.15,184.15,184.15,nan
1970-07-06,189.71,189.71,189.71,189.71,nan
1970-07-07,187.03,187.03,187.03,187.03,nan
1970-07-08,186.02,186.02,186.02,186.02,nan
1970-07-09,190.34,190.34,190.34,190.34,nan
1970-07-10,189.72,189.72,189.72,189.72,nan
1970-07-13,188.01,188.01,188.01,188.01,nan
1970-07-14,189.83,189.83,189.83,189.83,nan
1970-07-15,189.85,189.85,189.85,189.85,nan
1970-07-17,189.38,189.38,189.38,189.38,nan
1970-07-20,190.64,190.64,190.64,190.64,nan
1970-07-21,191.22,191.22,191.22,191.22,nan
1970-07-22,193.27,193.27,193.27,193.27,nan
1970-07-23,194.58,194.58,194.58,194.58,nan
1970-07-24,193.88,193.88,193.88,193.88,nan
1970-07-27,195.01,195.01,195.01,195.01,nan
1970-07-28,193.89,193.89,193.89,193.89,nan
1970-07-29,194.22,194.22,194.22,194.22,nan
1970-07-30,195.63,195.63,195.63,195.63,nan
1970-07-31,194.53,194.53,194.53,194.53,nan
1970-08-04,193.24,193.24,193.24,193.24,nan
1970-08-05,194.32,194.32,194.32,194.32,nan
1970-08-06,195.55,195.55,195.55,195.55,nan
1970-08-07,195.84,195.84,195.84,195.84,nan
1970-08-10,197.72,197.72,197.72,197.72,nan
1970-08-11,200.18,200.18,200.18,200.18,nan
1970-08-12,201.55,201.55,201.55,201.55,nan
1970-08-13,201.94,201.94,201.94,201.94,nan
1970-08-14,203.06,203.06,203.06,203.06,nan
1970-08-17,202.46,202.46,202.46,202.46,nan
1970-08-18,203.45,203.45,203.45,203.45,nan
1970-08-19,204.51,204.51,204.51,204.51,nan
1970-08-20,203.22,203.22,203.22,203.22,nan
1970-08-21,203.89,203.89,203.89,203.89,nan
1970-08-24,203.55,203.55,203.55,203.55,nan
1970-08-25,202.99,202.99,202.99,202.99,nan
1970-08-26,201.5,201.5,201.5,201.5,nan
1970-08-27,200.25,200.25,200.25,200.25,nan
1970-08-28,201.15,201.15,201.15,201.15,nan
1970-09-01,200.78,200.78,200.78,200.78,nan
1970-09-02,198.54,198.54,198.54,198.54,nan
1970-09-03,196.77,196.77,196.77,196.77,nan
1970-09-04,198.36,198.36,198.36,198.36,nan
1970-09-07,199.24,199.24,199.24,199.24,nan
1970-09-08,197.31,197.31,197.31,197.31,nan
1970-09-09,196.57,196.57,196.57,196.57,nan
1970-09-10,198.12,198.12,198.12,198.12,nan
1970-09-11,197.91,197.91,197.91,197.91,nan
1970-09-15,197.39,197.39,197.39,197.39,nan
1970-09-17,195.96,195.96,195.96,195.96,nan
1970-09-18,194.76,194.76,194.76,194.76,nan
1970-09-21,192.46,192.46,192.46,192.46,nan
1970-09-22,192.82,192.82,192.82,192.82,nan
1970-09-23,192.05,192.05,192.05,192.05,nan
1970-09-24,192.91,192.91,192.91,192.91,nan
1970-09-25,195.37,195.37,195.37,195.37,nan
1970-09-28,196.48,196.48,196.48,196.48,nan
1970-09-29,197.74,197.74,197.74,197.74,nan
1970-09-30,198.55,198.55,198.55,198.55,nan
1970-10-01,197.81,197.81,197.81,197.81,nan
1970-10-02,196.58,196.58,196.58,196.58,nan
1970-10-05,197.28,197.28,197.28,197.28,nan
1970-10-06,197.03,197.03,197.03,197.03,nan
1970-10-07,196.98,196.98,196.98,196.98,nan
1970-10-09,195.81,195.81,195.81,195.81,nan
1970-10-12,194.92,194.92,194.92,194.92,nan
1970-10-13,194.34,194.34,194.34,194.34,nan
1970-10-14,194.16,194.16,194.16,194.16,nan
1970-10-15,193.14,193.14,193.14,193.14,nan
1970-10-16,191.61,191.61,191.61,191.61,nan
1970-10-19,194.13,194.13,194.13,194.13,nan
1970-10-20,194.19,194.19,194.19,194.19,nan
1970-10-21,193.34,193.34,193.34,193.34,nan
1970-10-22,192.76,192.76,192.76,192.76,nan
1970-10-23,192.2,192.2,192.2,192.2,nan
1970-10-26,191.87,191.87,191.87,191.87,nan
1970-10-27,190.43,190.43,190.43,190.43,nan
1970-10-28,189.1,189.1,189.1,189.1,nan
1970-10-29,190.8,190.8,190.8,190.8,nan
1970-10-30,191.54,191.54,191.54,191.54,nan
1970-11-02,190.64,190.64,190.64,190.64,nan
1970-11-03,190.15,190.15,190.15,190.15,nan
1970-11-04,190.37,190.37,190.37,190.37,nan
1970-11-05,190.4,190.4,190.4,190.4,nan
1970-11-06,190.83,190.83,190.83,190.83,nan
1970-11-09,191.79,191.79,191.79,191.79,nan
1970-11-10,193.62,193.62,193.62,193.62,nan
1970-11-11,195.69,195.69,195.69,195.69,nan
1970-11-12,194.84,194.84,194.84,194.84,nan
1970-11-13,194.59,194.59,194.59,194.59,nan
1970-11-16,196.23,196.23,196.23,196.23,nan
1970-11-17,198.73,198.73,198.73,198.73,nan
1970-11-18,197.52,197.52,197.52,197.52,nan
1970-11-19,198.32,198.32,198.32,198.32,nan
1970-11-20,199.49,199.49,199.49,199.49,nan
1970-11-23,198.77,198.77,198.77,198.77,nan
1970-11-24,197.19,197.19,197.19,197.19,nan
1970-11-25,197.79,197.79,197.79,197.79,nan
1970-11-26,199.09,199.09,199.09,199.09,nan
1970-11-27,199.57,199.57,199.57,199.57,nan
1970-11-30,198.86,198.86,198.86,198.86,nan
1970-12-01,197.95,197.95,197.95,197.95,nan
1970-12-02,198.01,198.01,198.01,198.01,nan
1970-12-03,200.12,200.12,200.12,200.12,nan
1970-12-04,201.12,201.12,201.12,201.12,nan
1970-12-07,203.05,203.05,203.05,203.05,nan
1970-12-08,204.56,204.56,204.56,204.56,nan
1970-12-09,203.74,203.74,203.74,203.74,nan
1970-12-10,202.11,202.11,202.11,202.11,nan
1970-12-11,204.08,204.08,204.08,204.08,nan
1970-12-14,207.43,207.43,207.43,207.43,nan
1970-12-15,206.77,206.77,206.77,206.77,nan
1970-12-16,206.63,206.63,206.63,206.63,nan
1970-12-17,207.97,207.97,207.97,207.97,nan
1970-12-18,209.99,209.99,209.99,209.99,nan
1970-12-21,208.99,208.99,208.99,208.99,nan
1970-12-22,209.38,209.38,209.38,209.38,nan
1970-12-23,208.87,208.87,208.87,208.87,nan
1970-12-24,210.97,210.97,210.97,210.97,nan
1970-12-28,211.27,211.27,211.27,211.27,nan
1970-12-29,211.91,211.91,211.91,211.91,nan
1970-12-30,211.69,211.69,211.69,211.69,nan
1970-12-31,211.64,211.64,211.64,211.64,nan
1971-01-04,213.26,213.26,213.26,213.26,nan
1971-01-05,213.76,213.76,213.76,213.76,nan
1971-01-06,212.98,212.98,212.98,212.98,nan
1971-01-07,212.48,212.48,212.48,212.48,nan
1971-01-08,212.54,212.54,212.54,212.54,nan
1971-01-11,213.77,213.77,213.77,213.77,nan
1971-01-12,216.81,216.81,216.81,216.81,nan
1971-01-13,217.36,217.36,217.36,217.36,nan
1971-01-14,218.17,218.17,218.17,218.17,nan
1971-01-15,218.66,218.66,218.66,218.66,nan
1971-01-18,218.83,218.83,218.83,218.83,nan
1971-01-19,218.29,218.29,218.29,218.29,nan
1971-01-20,216.13,216.13,216.13,216.13,nan
1971-01-21,217.22,217.22,217.22,217.22,nan
1971-01-22,217.71,217.71,217.71,217.71,nan
1971-01-25,220.86,220.86,220.86,220.86,nan
1971-01-26,220.59,220.59,220.59,220.59,nan
1971-02-01,220.25,220.25,220.25,220.25,nan
1971-02-02,217.77,217.77,217.77,217.77,nan
1971-02-03,217.48,217.48,217.48,217.48,nan
1971-02-04,217.87,217.87,217.87,217.87,nan
1971-02-05,218.1,218.1,218.1,218.1,nan
1971-02-08,216.48,216.48,216.48,216.48,nan
1971-02-09,215.84,215.84,215.84,215.84,nan
1971-02-10,216.89,216.89,216.89,216.89,nan
1971-02-11,215.85,215.85,215.85,215.85,nan
1971-02-12,213.18,213.18,213.18,213.18,nan
1971-02-15,211.81,211.81,211.81,211.81,nan
1971-02-16,211.34,211.34,211.34,211.34,nan
1971-02-17,214.2,214.2,214.2,214.2,nan
1971-02-18,213.77,213.77,213.77,213.77,nan
1971-02-19,212.38,212.38,212.38,212.38,nan
1971-02-22,211.37,211.37,211.37,211.37,nan
1971-02-23,210.8,210.8,210.8,210.8,nan
1971-02-24,211.59,211.59,211.59,211.59,nan
1971-02-25,212.11,212.11,212.11,212.11,nan
1971-02-26,209.16,209.16,209.16,209.16,nan
1971-03-01,208.55,208.55,208.55,208.55,nan
1971-03-02,207.04,207.04,207.04,207.04,nan
1971-03-03,203.81,203.81,203.81,203.81,nan
1971-03-04,206.44,206.44,206.44,206.44,nan
1971-03-05,204.16,204.16,204.16,204.16,nan
1971-03-08,204.34,204.34,204.34,204.34,nan
1971-03-09,202.27,202.27,202.27,202.27,nan
1971-03-10,201.07,201.07,201.07,201.07,nan
1971-03-11,202.72,202.72,202.72,202.72,nan
1971-03-12,201.51,201.51,201.51,201.51,nan
1971-03-15,202.21,202.21,202.21,202.21,nan
1971-03-16,202.73,202.73,202.73,202.73,nan
1971-03-17,202.65,202.65,202.65,202.65,nan
1971-03-18,202.71,202.71,202.71,202.71,nan
1971-03-19,203.58,203.58,203.58,203.58,nan
